Date,Open,High,Low,Close,Adj Close,Volume
2023-01-17,185.750000,186.699997,179.300003,181.750000,171.698044,933209
2023-01-18,182.199997,182.500000,177.399994,178.199997,168.344376,668252
2023-01-19,177.550003,178.250000,176.000000,177.949997,168.108200,380958
2023-01-20,178.100006,181.750000,177.850006,179.449997,169.525253,999480
2023-01-23,180.750000,182.050003,179.949997,180.600006,170.611649,528183
2023-01-24,181.000000,182.149994,177.600006,177.949997,168.108200,473442
2023-01-25,178.199997,178.550003,166.350006,169.800003,160.408951,1537235
2023-01-27,170.500000,170.550003,156.100006,157.300003,148.600296,2258975
2023-01-30,156.699997,163.750000,153.050003,158.500000,149.733932,2451534
2023-01-31,160.300003,168.649994,159.500000,167.899994,158.614044,1665240
2023-02-01,169.600006,169.949997,151.149994,154.300003,145.766220,4113116
2023-02-02,151.649994,156.399994,146.500000,154.100006,145.577286,2161693
2023-02-03,157.149994,164.350006,151.699997,163.649994,154.599091,4804750
2023-02-06,165.399994,168.699997,163.649994,167.800003,158.519577,2578954
2023-02-07,168.000000,170.449997,166.800003,168.500000,159.180862,1033101
2023-02-08,168.500000,169.399994,166.100006,168.000000,158.708511,842081
2023-02-09,167.550003,170.899994,163.949997,169.399994,160.031082,1299066
2023-02-10,170.000000,173.850006,168.600006,169.300003,159.936615,1483499
2023-02-13,169.350006,170.649994,164.149994,165.199997,156.063370,1202815
2023-02-14,166.000000,169.300003,163.699997,168.750000,159.417038,1308651
2023-02-15,168.350006,169.899994,167.600006,169.550003,160.172791,661315
2023-02-16,170.000000,171.350006,169.300003,169.949997,160.550659,832835
2023-02-17,168.699997,169.100006,164.699997,166.750000,157.527649,567390
2023-02-20,167.550003,168.449997,163.399994,164.300003,155.213150,1133326
2023-02-21,164.250000,164.500000,159.550003,159.949997,151.103729,1645780
2023-02-22,158.699997,159.399994,155.649994,157.199997,148.505814,1163673
2023-02-23,157.300003,158.300003,153.149994,155.550003,146.947083,1463242
2023-02-24,156.800003,157.750000,153.750000,154.600006,146.049637,961764
2023-02-27,153.600006,159.350006,153.600006,159.000000,150.206284,1376262
2023-02-28,160.050003,161.149994,157.250000,159.250000,150.442444,2219807
2023-03-01,157.949997,164.699997,157.800003,164.399994,155.307617,1563715
2023-03-02,164.149994,166.250000,162.800003,164.649994,155.543793,1003969
2023-03-03,166.800003,173.600006,166.800003,172.949997,163.384735,3039056
2023-03-06,173.149994,176.399994,172.500000,173.149994,163.573685,1427988
2023-03-08,170.600006,174.600006,170.600006,174.000000,164.376678,951533
2023-03-09,174.500000,174.949997,170.949997,171.500000,162.014938,606323
2023-03-10,170.350006,170.350006,166.050003,167.800003,158.519577,733707
2023-03-13,167.000000,170.000000,163.500000,163.899994,154.835266,1075204
2023-03-14,162.800003,164.850006,161.000000,162.500000,153.512711,819605
2023-03-15,164.699997,164.899994,158.699997,159.300003,150.489685,934699
2023-03-16,158.550003,161.399994,155.649994,159.649994,150.820313,1473871
2023-03-17,161.800003,162.649994,158.250000,160.000000,151.150970,740581
2023-03-20,158.050003,159.649994,155.750000,158.699997,149.922867,739269
2023-03-21,159.300003,163.449997,159.300003,163.050003,154.032272,682302
2023-03-22,164.350006,168.199997,163.350006,167.449997,158.188919,1050456
2023-03-23,166.100006,167.050003,162.250000,162.699997,153.701630,935098
2023-03-24,162.149994,163.899994,159.149994,159.800003,150.962021,771376
2023-03-27,159.300003,162.300003,158.649994,161.250000,152.331833,1182968
2023-03-28,161.800003,161.800003,158.850006,160.750000,151.859497,928256
2023-03-29,160.199997,164.949997,160.100006,164.500000,155.402084,1020170
2023-03-31,165.250000,169.699997,165.250000,168.800003,159.464264,1192104
2023-04-03,169.000000,170.199997,168.100006,169.199997,159.842133,602010
2023-04-05,169.149994,169.699997,165.100006,167.100006,157.858292,1247527
2023-04-06,167.199997,169.199997,165.449997,166.850006,157.622116,1263046
2023-04-10,167.199997,168.100006,165.399994,166.199997,157.008057,350068
2023-04-11,173.000000,173.699997,170.199997,170.850006,161.400894,1211527
2023-04-12,171.000000,172.100006,169.250000,170.350006,160.928543,646288
2023-04-13,170.000000,171.850006,168.550003,171.300003,161.826004,514040
2023-04-17,169.149994,176.649994,169.149994,176.300003,166.549484,821950
2023-04-18,177.050003,178.800003,175.800003,177.850006,168.013748,891579
2023-04-19,178.100006,179.050003,176.399994,177.149994,167.352448,793858
2023-04-20,177.000000,178.750000,176.300003,177.600006,167.777573,583632
2023-04-21,177.600006,177.899994,174.649994,176.350006,166.596710,440906
2023-04-24,176.350006,180.550003,176.350006,180.199997,170.233780,710648
2023-04-25,180.750000,184.899994,180.250000,184.149994,173.965302,1321188
2023-04-26,184.000000,184.199997,181.899994,183.550003,173.398499,928450
2023-04-27,183.199997,186.000000,183.199997,185.699997,175.429596,886750
2023-04-28,185.699997,188.350006,185.500000,187.800003,177.413452,684993
2023-05-02,188.500000,189.399994,187.199997,188.100006,177.696869,880522
2023-05-03,182.600006,185.100006,180.899994,184.600006,174.390427,1053912
2023-05-04,184.750000,186.149994,183.699997,185.199997,174.957245,983245
2023-05-05,185.199997,188.300003,183.000000,183.399994,173.256790,1135916
2023-05-08,184.100006,185.199997,178.800003,182.949997,172.831680,1839498
2023-05-09,184.000000,184.800003,176.399994,177.649994,167.824799,1405819
2023-05-10,175.850006,179.000000,172.850006,178.449997,168.580566,924826
2023-05-11,179.750000,180.850006,178.000000,178.500000,168.627792,1431322
2023-05-12,178.500000,180.550003,177.699997,178.800003,168.911209,761631
2023-05-15,178.550003,184.600006,177.399994,183.800003,173.634674,1321028
2023-05-16,185.500000,188.449997,183.949997,186.350006,176.043655,1916637
2023-05-17,189.649994,190.050003,183.800003,185.850006,175.571304,1325875
2023-05-18,null,null,null,null,null,null
2023-05-19,181.449997,182.250000,178.000000,181.899994,171.839752,1000027
2023-05-22,182.050003,182.199997,179.350006,181.000000,170.989532,681860
2023-05-23,181.050003,184.649994,181.050003,183.350006,173.209564,610476
2023-05-24,182.000000,185.000000,182.000000,182.600006,172.501038,1086492
2023-05-25,182.500000,182.800003,179.850006,181.800003,171.745285,1000317
2023-05-26,180.300003,184.699997,180.300003,183.500000,173.351257,658488
2023-05-29,null,null,null,null,null,null
2023-05-30,183.399994,184.500000,182.699997,183.600006,173.445724,1225174
2023-05-31,184.149994,185.449997,182.100006,185.000000,174.768295,722287
2023-06-01,184.100006,187.100006,184.100006,184.899994,174.673828,1043361
2023-06-02,185.199997,187.050003,185.100006,186.699997,176.374283,776613
2023-06-05,187.000000,187.649994,185.399994,185.649994,175.382339,261478
2023-06-06,185.750000,186.100006,184.350006,185.250000,175.004471,341702
2023-06-07,184.850006,188.300003,184.850006,187.350006,176.988342,646848
2023-06-08,187.350006,189.149994,186.100006,187.399994,177.035553,453355
2023-06-09,187.199997,187.750000,184.100006,184.899994,174.673828,439818
2023-06-12,184.800003,187.350006,184.699997,187.000000,176.657684,463924
2023-06-13,187.949997,188.500000,186.699997,187.250000,176.893860,366898
2023-06-14,188.100006,188.449997,186.399994,187.350006,176.988342,478419
2023-06-15,186.149994,187.899994,182.649994,183.449997,173.304031,401124
2023-06-16,183.250000,188.300003,183.250000,188.100006,177.696869,954077
2023-06-19,188.800003,194.850006,188.199997,193.699997,182.987137,1595163
2023-06-20,195.000000,196.750000,193.500000,194.949997,184.167999,793945
2023-06-21,195.399994,198.399994,195.000000,198.050003,187.096558,1163651
2023-06-22,198.500000,198.500000,192.250000,193.250000,182.562027,746421
2023-06-23,193.500000,193.949997,190.600006,192.199997,181.570099,547015
2023-06-26,191.050003,192.500000,188.899994,191.149994,180.578156,518277
2023-06-27,191.350006,192.100006,190.649994,191.000000,180.436462,550188
2023-06-28,191.550003,191.850006,189.250000,190.050003,179.539001,633204
2023-06-30,186.850006,191.000000,185.649994,190.350006,185.181519,715249
2023-07-03,null,null,null,null,null,null
2023-07-04,null,null,null,null,null,null
2023-07-05,null,null,null,null,null,null
2023-07-06,null,null,null,null,null,null
2023-07-07,204.850006,210.449997,202.350006,208.899994,203.227829,976565
2023-07-10,209.500000,210.800003,203.000000,203.500000,197.974457,822813
2023-07-11,null,null,null,null,null,null
2023-07-12,null,null,null,null,null,null
2023-07-13,null,null,null,null,null,null
2023-07-14,197.149994,200.050003,195.000000,198.350006,192.964294,784693
